DateTime,values,bus2,bus3,bus4
2020-01-01T00:26:24.0,669.1575,669.1575,669.1575,669.1575
2020-01-01T00:26:30.0,668.6875,668.6875,668.6875,668.6875
2020-01-01T00:26:36.0,667.61,667.61,667.61,667.61
2020-01-01T00:26:42.0,668.0775,668.0775,668.0775,668.0775
2020-01-01T00:26:48.0,668.0325,668.0325,668.0325,668.0325
2020-01-01T00:26:54.0,667.6875,667.6875,667.6875,667.6875
2020-01-01T00:27:00.0,666.97,666.97,666.97,666.97
2020-01-01T00:27:06.0,669.1725,669.1725,669.1725,669.1725
2020-01-01T00:27:12.0,668.595,668.595,668.595,668.595
2020-01-01T00:27:18.0,667.2975,667.2975,667.2975,667.2975
2020-01-01T00:27:24.0,667.7975,667.7975,667.7975,667.7975
2020-01-01T00:27:30.0,667.72,667.72,667.72,667.72
2020-01-01T00:27:36.0,668.5775,668.5775,668.5775,668.5775
2020-01-01T00:27:42.0,668.235,668.235,668.235,668.235
2020-01-01T00:27:48.0,669.1875,669.1875,669.1875,669.1875
2020-01-01T00:27:54.0,669.4075,669.4075,669.4075,669.4075
2020-01-01T00:28:00.0,666.1875,666.1875,666.1875,666.1875
2020-01-01T00:28:06.0,665.5325,665.5325,665.5325,665.5325
2020-01-01T00:28:12.0,668.265,668.265,668.265,668.265
2020-01-01T00:28:18.0,667.485,667.485,667.485,667.485
2020-01-01T00:28:24.0,668.4525,668.4525,668.4525,668.4525
2020-01-01T00:28:30.0,667.095,667.095,667.095,667.095
2020-01-01T00:28:36.0,668.2975,668.2975,668.2975,668.2975
2020-01-01T00:28:42.0,668.22,668.22,668.22,668.22
2020-01-01T00:28:48.0,666.6725,666.6725,666.6725,666.6725
2020-01-01T00:28:54.0,666.4375,666.4375,666.4375,666.4375
2020-01-01T00:29:00.0,666.1575,666.1575,666.1575,666.1575
2020-01-01T00:29:06.0,665.5625,665.5625,665.5625,665.5625
2020-01-01T00:29:12.0,663.0,663.0,663.0,663.0
2020-01-01T00:29:18.0,663.4075,663.4075,663.4075,663.4075
2020-01-01T00:29:24.0,663.5,663.5,663.5,663.5
2020-01-01T00:29:30.0,665.5625,665.5625,665.5625,665.5625
2020-01-01T00:29:36.0,664.515,664.515,664.515,664.515
2020-01-01T00:29:42.0,664.64,664.64,664.64,664.64
2020-01-01T00:29:48.0,664.47,664.47,664.47,664.47
2020-01-01T00:29:54.0,663.97,663.97,663.97,663.97
2020-01-01T00:30:00.0,664.6725,664.6725,664.6725,664.6725
2020-01-01T00:30:06.0,663.9375,663.9375,663.9375,663.9375
2020-01-01T00:30:12.0,663.4375,663.4375,663.4375,663.4375
2020-01-01T00:30:18.0,662.985,662.985,662.985,662.985
2020-01-01T00:30:24.0,663.1575,663.1575,663.1575,663.1575
2020-01-01T00:30:30.0,664.235,664.235,664.235,664.235
2020-01-01T00:30:36.0,663.125,663.125,663.125,663.125
2020-01-01T00:30:42.0,661.89,661.89,661.89,661.89
2020-01-01T00:30:48.0,662.6725,662.6725,662.6725,662.6725
2020-01-01T00:30:54.0,662.9075,662.9075,662.9075,662.9075
2020-01-01T00:31:00.0,664.095,664.095,664.095,664.095
2020-01-01T00:31:06.0,663.39,663.39,663.39,663.39
2020-01-01T00:31:12.0,662.97,662.97,662.97,662.97
2020-01-01T00:31:18.0,661.7025,661.7025,661.7025,661.7025
2020-01-01T00:31:24.0,660.625,660.625,660.625,660.625
2020-01-01T00:31:30.0,662.4075,662.4075,662.4075,662.4075
2020-01-01T00:31:36.0,661.9225,661.9225,661.9225,661.9225
2020-01-01T00:31:42.0,660.4525,660.4525,660.4525,660.4525
2020-01-01T00:31:48.0,661.4525,661.4525,661.4525,661.4525
2020-01-01T00:31:54.0,660.595,660.595,660.595,660.595
2020-01-01T00:32:00.0,661.6575,661.6575,661.6575,661.6575
2020-01-01T00:32:06.0,661.3125,661.3125,661.3125,661.3125
2020-01-01T00:32:12.0,662.5625,662.5625,662.5625,662.5625
2020-01-01T00:32:18.0,664.0325,664.0325,664.0325,664.0325
2020-01-01T00:32:24.0,661.4375,661.4375,661.4375,661.4375
2020-01-01T00:32:30.0,662.265,662.265,662.265,662.265
2020-01-01T00:32:36.0,663.14,663.14,663.14,663.14
2020-01-01T00:32:42.0,660.47,660.47,660.47,660.47
2020-01-01T00:32:48.0,660.6575,660.6575,660.6575,660.6575
2020-01-01T00:32:54.0,660.985,660.985,660.985,660.985
2020-01-01T00:33:00.0,661.9525,661.9525,661.9525,661.9525
2020-01-01T00:33:06.0,661.4525,661.4525,661.4525,661.4525
2020-01-01T00:33:12.0,660.9225,660.9225,660.9225,660.9225
2020-01-01T00:33:18.0,660.0475,660.0475,660.0475,660.0475
2020-01-01T00:33:24.0,660.735,660.735,660.735,660.735
2020-01-01T00:33:30.0,659.875,659.875,659.875,659.875
2020-01-01T00:33:36.0,660.4525,660.4525,660.4525,660.4525
2020-01-01T00:33:42.0,661.47,661.47,661.47,661.47
2020-01-01T00:33:48.0,660.1575,660.1575,660.1575,660.1575
2020-01-01T00:33:54.0,660.22,660.22,660.22,660.22
2020-01-01T00:34:00.0,661.5325,661.5325,661.5325,661.5325
2020-01-01T00:34:06.0,659.4075,659.4075,659.4075,659.4075
2020-01-01T00:34:12.0,659.985,659.985,659.985,659.985
2020-01-01T00:34:18.0,659.6875,659.6875,659.6875,659.6875
2020-01-01T00:34:24.0,661.14,661.14,661.14,661.14
2020-01-01T00:34:30.0,659.4375,659.4375,659.4375,659.4375
2020-01-01T00:34:36.0,658.36,658.36,658.36,658.36
2020-01-01T00:34:42.0,659.5325,659.5325,659.5325,659.5325
2020-01-01T00:34:48.0,660.0775,660.0775,660.0775,660.0775
2020-01-01T00:34:54.0,658.8275,658.8275,658.8275,658.8275
2020-01-01T00:35:00.0,659.3275,659.3275,659.3275,659.3275
2020-01-01T00:35:06.0,661.5475,661.5475,661.5475,661.5475
2020-01-01T00:35:12.0,658.8275,658.8275,658.8275,658.8275
